,callDateTime,priority,district,description,callNumber,incidentLocation,location
6957,7/15/2015 12:36,Medium,CD,SICK CASE,P151961304,500 FALLSWAY,"(39.2960500,-76.6103480)"
6958,7/15/2015 12:25,Low,NE,DESTRUCT PROPTY,P151961305,5700 PURDUE AV,"(39.3596230,-76.5937830)"
6959,7/15/2015 12:36,Low,NW,INVESTIGATE,P151961306,3300 W COLD SPRING LN,"(39.3366870,-76.6746129)"
6960,7/15/2015 12:39,High,WD,Traffic Stop,P151961307,WINCHESTER ST/N FREMONT AV,"(39.302511,-76.636341)"
6961,7/15/2015 12:35,Medium,SE,SUSPICIOUS PERS,P151961308,200 S REGESTER ST,"(39.2892998,-76.5924826)"
6962,7/15/2015 12:39,Medium,SW,MISSING PERSON,P151961309,800 STAMFORD RD,"(39.2930850,-76.7075140)"
6963,7/15/2015 12:35,Low,ND,HIT AND RUN,P151961310,600 E 33RD ST,"(39.3286549,-76.6082916)"
6964,7/15/2015 12:38,Low,SD,INVEST TROUBLE,P151961311,1000 W CROSS ST,"(39.2808495,-76.6295912)"
6965,7/15/2015 12:38,Medium,SW,COMMON ASSAULT,P151961312,3300 WINTERBOURNE RD,"(39.3072183,-76.6722842)"
6966,7/15/2015 12:12,Low,NW,LARCENCY,P151961240,5500 PARK HEIGHTS AV,"(39.3516460,-76.6838520)"
6967,7/15/2015 12:12,Low,NE,OTHER,P151961241,6300 MOYER AV,"(39.3568270,-76.5465030)"
6968,7/15/2015 12:12,Low,CD,WANTED ON WARR,P151961242,N HOWARD ST/W LEXINGTON ST,"(39.291539,-76.619570)"
6969,7/15/2015 12:11,Low,NE,HIT AND RUN,P151961243,2700 THE ALAMEDA,"(39.3213320,-76.5913340)"
6970,7/15/2015 12:11,Medium,NW,DISORDERLY,P151961244,5500 PARK HEIGHTS AV,"(39.3516460,-76.6838520)"
6971,7/15/2015 12:13,Medium,TRU,911/NO  VOICE,P151961245,3500 6TH ST,"(39.2383964,-76.6012666)"
6972,7/15/2015 12:14,Medium,TRU,911/NO  VOICE,P151961246,900 E MADISON ST,"(39.2992016,-76.6047159)"
6973,7/15/2015 12:12,Low,NW,LARCENCY,P151961247,5500 PARK HEIGHTS AV,"(39.3516460,-76.6838520)"
6974,7/15/2015 12:15,Medium,NE,911/NO  VOICE,P151961248,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
6975,7/15/2015 12:15,Medium,NE,911/NO  VOICE,P151961249,2500 AISQUITH ST,"(39.3173062,-76.5981803)"
6976,7/15/2015 12:15,Medium,NE,911/NO  VOICE,P151961250,6300 MCCLEAN BL,"(39.3631915,-76.5690486)"
6977,7/15/2015 12:15,Medium,NE,911/NO  VOICE,P151961251,2500 AISQUITH ST,"(39.3173062,-76.5981803)"
6978,7/15/2015 12:16,Medium,ND,FAMILY DISTURB,P151961252,2500 EDGECOMBE CI N,"(39.3414488,-76.6606553)"
6979,7/15/2015 12:16,Medium,ND,MENTAL CASE,P151961253,3800 KESWICK RD,"(39.3344805,-76.6282480)"
6980,7/15/2015 12:13,Low,ND,OTHER,P151961254,2800 VIRGINIA AV,"(39.3456810,-76.6628760)"
6981,7/15/2015 12:18,High,NE,Traffic Stop,P151961255,2800 LOCH RAVEN RD,"(39.3215890,-76.6035900)"
6982,7/15/2015 12:17,Medium,TRU,911/NO  VOICE,P151961256,100 W 29TH ST,"(39.3231493,-76.6188892)"
6983,7/15/2015 12:18,Low,TRU,INVEST,P151961257,0 MARKET PL,"(39.2891440,-76.6071223)"
6984,7/15/2015 12:18,Medium,NE,911/NO  VOICE,P151961258,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
6985,7/15/2015 12:18,Medium,NE,911/NO  VOICE,P151961259,2500 AISQUITH ST,"(39.3173062,-76.5981803)"
6986,7/15/2015 12:15,Medium,ND,FAMILY DISTURB,P151961260,2500 EDGECOMBE CI N,"(39.3414488,-76.6606553)"
6987,7/15/2015 12:20,High,CD,AUTO ACC/INJURY,P151961261,W NORTH AV/MT ROYAL TE,"(39.310863,-76.625124)"
6988,7/15/2015 12:21,Low,ED,Transport,P151961262,GREENMOUNT AV/E NORTH AV,"(39.311405,-76.609461)"
6989,7/15/2015 12:18,Non-Emergency,NW,INVESTIGATE AUTO,P151961264,3900 BLK W NORTHERN PY,"(39.2903848,-76.6121893)"
6990,7/15/2015 12:18,High,CD,AUTO ACC/INJURY,P151961265,W NORTH AV/MT ROYAL TE,"(39.310863,-76.625124)"
6991,7/15/2015 12:20,Medium,CD,NARCOTICS INSIDE,P151961266,400 W LEXINGTON ST,"(39.2915100,-76.6218832)"
6992,7/15/2015 12:21,Non-Emergency,WD,RECOVER PROPERTY,P151961267,1200 BLK N PARRISH ST,"(39.3023726,-76.6424972)"
6993,7/15/2015 12:21,Low,SD,AUTO ACCIDENT,P151961268,2200 BLK ANNAPOLIS RD,"(39.2644170,-76.6334500)"
6994,7/15/2015 12:22,Medium,NW,DESTRUCT PROPTY,P151961269,3000 CHELSEA TE,"(39.3214040,-76.6823790)"
6995,7/15/2015 12:24,High,CD,Field Interview,P151961270,PENNSYLVANIA AV/LAURENS ST,"(39.304301,-76.635596)"
6996,7/15/2015 12:22,Low,TRU,OTHER,P151961271,O'DONNELL ST/S POTOMAC ST,"(39.280085,-76.573982)"
6997,7/15/2015 12:21,Non-Emergency,NE,SUPV COMPLAINT,P151961272,3000 BEVERLY RD,"(39.3404372,-76.5719029)"
6998,7/15/2015 12:25,Low,SE,Transport,P151961273,EASTERN DISTRICT,"(39.309774,-76.573144)"
6999,7/15/2015 12:25,Medium,CW,Lab Request,P151961274,2900 BAYONNE AV,"(39.3557700,-76.5613980)"
7000,7/15/2015 12:24,Medium,NW,DISORDERLY,P151961275,4000 W NORTHERN PY,"(39.2903848,-76.6121893)"
7001,7/15/2015 12:24,Low,WD,AUTO ACCIDENT,P151961276,W LAFAYETTE AV/N FREMONT AV,"(39.299182,-76.634499)"
7002,7/15/2015 12:24,Medium,NW,NARCOTICSOutside,P151961277,5000 QUEENSBERRY AV,"(39.3488029,-76.6712600)"
7003,7/15/2015 12:26,Medium,CW,NARCOTICS INSIDE,P151961278,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
7004,7/15/2015 12:25,Low,NW,AUTO ACCIDENT,P151961279,FALLSTAFF RD/REISTERSTOWN RD,"(39.362127,-76.710241)"
7005,7/15/2015 12:26,Medium,CW,NARCOTICS INSIDE,P151961280,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
7006,7/15/2015 12:25,Medium,NE,911/NO  VOICE,P151961281,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
7007,7/15/2015 12:27,Medium,CW,NARCOTICS INSIDE,P151961282,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
7008,7/15/2015 13:19,High,NE,RA POLICE,P151961411,1500 E COLD SPRING LN,"(39.3463860,-76.5910470)"
7009,7/15/2015 13:18,High,ED,ARMED PERSON,P151961414,GREENMOUNT AV/E 0TH ST,"(39.316241,-76.609478)"
7010,7/15/2015 13:15,Low,ND,WANTED ON WARR,P151961415,E 0ST ST/N CHARLES ST,"(39.313230,-76.616695)"
7011,7/15/2015 13:21,Non-Emergency,SW,Repairs/Service,P151961416,FALLSWAY SUBSTATION,"(39.291898,-76.607014)"
7012,7/15/2015 13:18,Low,NE,HIT AND RUN,P151961417,4400 POWELL AV,"(39.3463356,-76.5355498)"
7013,7/15/2015 13:19,High,WD,ARMED PERSON,P151961419,3200 TIOGA PY,"(39.2903848,-76.6121893)"
7014,7/15/2015 13:21,Medium,CD,NARCOTICSOutside,P151961420,400 E LEXINGTON ST,"(39.2916460,-76.6100823)"
7015,7/15/2015 13:17,Low,ND,AUTO ACCIDENT,P151961421,E 0TH ST/ST PAUL ST,"(39.323254,-76.615745)"
7016,7/15/2015 13:18,Low,ND,HIT AND RUN,P151961422,600 E 33RD ST,"(39.3286549,-76.6082916)"
7017,7/15/2015 13:21,Medium,ND,DISORDERLY,P151961423,200 W 28TH ST,"(39.3218188,-76.6199902)"
7018,7/15/2015 13:21,Low,ED,ANIMAL CRUELTY,P151961424,700 N BROADWAY,"(39.2984746,-76.5946228)"
7019,7/15/2015 13:21,Medium,SD,PROSTITUTION,P151961425,WILKENS AV/S PAYSON ST,"(39.281635,-76.647759)"
7020,7/15/2015 13:21,Low,NE,AUTO ACCIDENT,P151961426,HILLEN RD/E BELVEDERE AV,"(39.357762,-76.582152)"
7021,7/15/2015 13:24,Low,WD,Transport,P151961427,WHEELER AV/W LANVALE ST,"(39.296978,-76.654913)"
7022,7/15/2015 13:24,High,NW,AUTO ACC/INJURY,P151961428,2600 PURNELL DR,"(39.3224724,-76.7115504)"
7023,7/15/2015 13:22,Non-Emergency,SD,RECOVER PROPERTY,P151961429,3700 ST VICTOR ST,"(39.2334670,-76.5973379)"
7024,7/15/2015 13:24,Low,ND,AUTO ACCIDENT,P151961430,E 0TH ST/ST PAUL ST,"(39.323254,-76.615745)"
7025,7/15/2015 13:22,High,SE,SILENT ALARM,P151961431,1800 E PRATT ST,"(39.2894888,-76.5914754)"
7026,7/15/2015 13:25,Non-Emergency,SE,FOLLOW UP,P151961433,200,"(39.2912369,-76.6124710)"
7027,7/15/2015 13:20,Low,ND,LARCENCY,P151961434,3700 FALLS RD,"(39.3326920,-76.6358470)"
7028,7/15/2015 13:25,Medium,ED,911/NO  VOICE,P151961435,1800 N PATTERSON PARK AV,"(39.3109903,-76.5858963)"
7029,7/15/2015 13:16,Medium,NW,INVEST TROUBLE,P151961436,2600 PURNELL DR,"(39.3224724,-76.7115504)"
7030,7/15/2015 13:24,Low,ND,AUTO ACCIDENT,P151961437,3100 SWANN DR,"(39.3184614,-76.6447291)"
7031,7/15/2015 13:24,Low,SD,DESTRUCT PROPTY,P151961438,2700 WEGWORTH LN,"(39.2536140,-76.6439950)"
7032,7/15/2015 13:21,Medium,WD,DISORDERLY,P151961439,2700 BAKER ST,"(39.3063060,-76.6610103)"
7033,7/15/2015 13:25,Medium,SE,AED NONBREATHING,P151961440,4900 EASTERN AV,"(39.2871610,-76.5549651)"
7034,7/15/2015 13:26,Non-Emergency,SE,FOLLOW UP,P151961441,200,"(39.2912369,-76.6124710)"
7035,7/15/2015 13:25,Medium,SW,AUTO THEFT,P151961443,2200 TUCKER LN,"(39.3119436,-76.7014796)"
7036,7/15/2015 13:26,Medium,SE,911/NO  VOICE,P151961444,500 S CENTRAL AV,"(39.2852853,-76.5992001)"
7037,7/15/2015 13:24,Non-Emergency,NW,TOWED VEHICLE,P151961445,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
7038,7/15/2015 13:26,Medium,ED,911/NO  VOICE,P151961446,1800 N PATTERSON PARK AV,"(39.3109903,-76.5858963)"
7039,7/15/2015 13:25,Low,ND,SEE TEXT,P151961447,4500 LAPLATA AV,"(39.3441946,-76.6442422)"
7040,7/15/2015 13:27,Low,TRU,LARCENY F/AUTO,P151961449,5900 BRACKENRIDGE AV,"(39.3618480,-76.6159070)"
7041,7/15/2015 12:39,Medium,SW,DISORDERLY,P151961313,2400 FREDERICK AV,"(39.2843269,-76.6546822)"
7042,7/15/2015 12:38,Medium,NE,NARCOTICSOutside,P151961314,3200 ELMORA AV,"(39.3160370,-76.5783750)"
7043,7/15/2015 12:42,Medium,CW,Lab Request,P151961315,2700 ST BENEDICT ST,"(39.2786293,-76.6589751)"
7044,7/15/2015 12:41,Medium,NE,911/NO  VOICE,P151961316,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
7045,7/15/2015 12:40,Low,NW,AUTO ACCIDENT,P151961319,PATTERSON AV/VERTIS PARK DR,"(39.351416,-76.708596)"
7046,7/15/2015 12:40,Low,SD,DWI,P151961320,1800 BAYARD ST,"(39.2751708,-76.6309750)"
7047,7/15/2015 12:42,Low,NE,INVESTIGATE,P151961321,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
7048,7/15/2015 12:41,High,NW,DISCHRG FIREARM,P151961322,3600 CLARKS LN,"(39.3620910,-76.7006530)"
7049,7/15/2015 12:44,Non-Emergency,NE,Foot  Patrol,P151961323,2700 BLK THE ALAMEDA,"(39.3213320,-76.5913340)"
7050,7/15/2015 12:42,Medium,SD,BURGLARY,P151961324,1000 W CROSS ST,"(39.2808495,-76.6295912)"
7051,7/15/2015 12:45,Medium,SD,BURGLARY,P151961326,100 LARUE SQ S,"(39.2505970,-76.6162389)"
7052,7/15/2015 12:46,Medium,WD,NARCOTICSOutside,P151961327,2200 BLK W LANVALE ST,"(39.3100265,-76.5869858)"
7053,7/15/2015 12:48,Non-Emergency,NE,Foot  Patrol,P151961328,5200 CATALPHA RD,"(39.3515323,-76.5696745)"
7054,7/15/2015 12:46,Low,SD,WANTED ON WARR,P151961329,1400 SEVERN ST,"(39.2757424,-76.6317363)"
7055,7/15/2015 12:46,Medium,NE,911/NO  VOICE,P151961331,5900 MORAVIA RD,"(39.3177890,-76.5453628)"
7056,7/15/2015 12:47,Medium,ED,NARCOTICSOutside,P151961332,2700 ASHLAND AV,"(39.3012640,-76.5794700)"
7057,7/15/2015 12:47,Medium,TRU,911/NO  VOICE,P151961333,700 WATER ST,"(39.2888700,-76.6065161)"
7058,7/15/2015 12:47,Medium,WD,FAMILY DISTURB,P151961334,1600 MORELAND AV,"(39.3064220,-76.6560660)"
7059,7/15/2015 12:49,Medium,NE,911/NO  VOICE,P151961335,5100 BELAIR RD,"(39.3363780,-76.5546279)"
7060,7/15/2015 12:49,Medium,SW,911/NO  VOICE,P151961336,3600 W FRANKLIN ST,"(39.2930530,-76.6772140)"
7061,7/15/2015 12:50,Non-Emergency,NE,Foot  Patrol,P151961337,BELAIR RD/FRANKFORD AV,"(39.338061,-76.551741)"
7062,7/15/2015 12:47,Medium,NW,NARCOTICSOutside,P151961338,5200 FAIRLAWN AV,"(39.3423960,-76.6852440)"
7063,7/15/2015 11:28,Low,CD,ESCORT,P151961339,1700 EUTAW PL,"(39.3068760,-76.6304080)"
7064,7/15/2015 12:50,Non-Emergency,ED,INVESTIGATE AUTO,P151961340,200 E FEDERAL ST,"(39.3078069,-76.6133965)"
7065,7/15/2015 12:50,Medium,WD,DISORDERLY,P151961341,W NORTH AV/PENNSYLVANIA AV,"(39.310059,-76.642509)"
7066,7/15/2015 12:52,Medium,ND,COMMON ASSAULT,P151961342,0 W 20TH ST,"(39.3122376,-76.6166388)"
7067,7/15/2015 13:35,Medium,SE,NARCOTICS INSIDE,P151961485,100 S CONKLING ST,"(39.2907739,-76.5676372)"
7068,7/15/2015 13:36,High,SE,SILENT ALARM,P151961487,400 N MONTFORD AV,"(39.2959020,-76.5837910)"
7069,7/15/2015 13:39,High,ED,Field Interview,P151961488,2300 E CHASE ST,"(39.3037794,-76.5849809)"
7070,7/15/2015 13:37,Medium,SD,DISORDERLY,P151961489,1100 NANTICOKE ST,"(39.2812500,-76.6303819)"
7071,7/15/2015 13:39,High,ND,Field Interview,P151961491,5300 BLK YORK RD,"(39.3477099,-76.6074868)"
7072,7/15/2015 13:38,Medium,NE,911/NO  VOICE,P151961492,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
7073,7/15/2015 13:39,Medium,ND,911/NO  VOICE,P151961493,4700 YORK RD,"(39.3462852,-76.6098814)"
7074,7/15/2015 13:37,Medium,CD,COMMON ASSAULT,P151961495,100 N PACA ST,"(39.2908441,-76.6224129)"
7075,7/15/2015 13:39,Medium,SD,911/NO  VOICE,P151961496,1300 BUSH ST,"(39.2765940,-76.6369020)"
7076,7/15/2015 13:41,Medium,SW,911/NO  VOICE,P151961497,3600 GEORGETOWN RD,"(39.2591263,-76.6673085)"
7077,7/15/2015 13:41,Medium,NE,911/NO  VOICE,P151961498,3400 THE ALAMEDA,"(39.3302980,-76.5956650)"
7078,7/15/2015 13:05,Medium,ND,DISORDERLY,P151961378,600 W 33RD ST,"(39.3273380,-76.6266490)"
7079,7/15/2015 13:06,Medium,CD,911/NO  VOICE,P151961379,0 W NORTH AV,"(39.3111919,-76.6165757)"
7080,7/15/2015 13:06,Non-Emergency,ED,VEHICLE DISTURB,P151961380,2300 BLK GARRETT AV,"(39.3166379,-76.6013604)"
7081,7/15/2015 13:04,Low,NW,RECOVERED VEH,P151961381,OAKLEY AV/CHALGROVE AV,"(39.348314,-76.669624)"
7082,7/15/2015 13:06,Low,TRU,LARCENY F/AUTO,P151961383,700 BROOKWOOD RD,"(39.2943000,-76.7008190)"
7083,7/15/2015 13:07,Medium,NE,911/NO  VOICE,P151961384,6700 MORAVIA PARK DR,"(39.3122990,-76.5353430)"
7084,7/15/2015 13:09,Medium,ED,911/NO  VOICE,P151961385,1600 N HIGHLAND AV,"(39.3088801,-76.5701564)"
7085,7/15/2015 13:11,Low,CD,INVOL DETENTION,P151961386,1700 MCCULLOH ST,"(39.3055978,-76.6320242)"
7086,7/15/2015 13:09,High,NE,SILENT ALARM,P151961388,900 CHESTNUT HILL AV,"(39.3341187,-76.6042679)"
7087,7/15/2015 13:10,Low,ND,AUTO ACCIDENT,P151961389,3100 SWANN DR,"(39.3184614,-76.6447291)"
7088,7/15/2015 13:08,Medium,SE,NARCOTICSOutside,P151961390,100 S HAVEN ST,"(39.2912960,-76.5629730)"
7089,7/15/2015 13:12,Medium,NE,NARCOTICSOutside,P151961391,5900 RADECKE AV,"(39.3305654,-76.5329631)"
7090,7/15/2015 13:11,Low,SE,HIT AND RUN,P151961392,600 S LUZERNE AV,"(39.2847650,-76.5801960)"
7091,7/15/2015 13:09,High,ED,SILENT ALARM,P151961393,200 N PATTERSON PARK AV,"(39.2944050,-76.5851140)"
7092,7/15/2015 13:11,Medium,SD,DISORDERLY,P151961394,900 BUNCHE RD,"(39.2460642,-76.6242487)"
7093,7/15/2015 13:14,Low,TRU,LARCENCY,P151961395,200 E BALTIMORE ST,"(39.2898910,-76.6120720)"
7094,7/15/2015 13:13,Medium,ED,911/NO  VOICE,P151961396,3700 E MONUMENT ST,"(39.3004529,-76.5669181)"
7095,7/15/2015 13:08,Medium,NE,UNFOUNDED,P151961397,4300 GREENHILL AV,"(39.3246690,-76.5593430)"
7096,7/15/2015 13:13,Low,SE,INVESTIGATE,P151961398,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
7097,7/15/2015 13:13,Medium,SE,BURGLARY,P151961399,400 N PORT ST,"(39.2959107,-76.5830062)"
7098,7/15/2015 13:14,High,NE,GAMBLING,P151961400,3500 BLK ELMLEY AV,"(39.3174260,-76.5721810)"
7099,7/15/2015 13:14,Medium,SE,DISORDERLY,P151961402,3800 BANK ST,"(39.2878756,-76.5652031)"
7100,7/15/2015 13:15,High,SE,SILENT ALARM,P151961404,200 S PATTERSON PARK AV,"(39.2894234,-76.5846985)"
7101,7/15/2015 13:15,High,ND,SILENT ALARM,P151961406,100 DEEPDENE RD,"(39.3566960,-76.6361676)"
7102,7/15/2015 13:15,High,SW,AUTO ACC/INJURY,P151961407,MT HOLLY ST/GELSTON DR,"(39.295535,-76.679873)"
7103,7/15/2015 13:16,Medium,WD,NARCOTICSOutside,P151961408,500 N FREMONT AV,"(39.2946140,-76.6321930)"
7104,7/15/2015 13:15,Low,ND,DESTRUCT PROPTY,P151961409,5800 KIPLING CT,"(39.3615740,-76.6061690)"
7105,7/15/2015 13:17,Low,ED,OTHER,P151961410,1000 EDISON HY,"(39.3029101,-76.5728709)"
7106,7/15/2015 14:40,Low,WD,AUTO ACCIDENT,P151961692,200 N CALHOUN ST,"(39.2908340,-76.6396949)"
7107,7/15/2015 14:41,Medium,ED,911/NO  VOICE,P151961693,1800 N PATTERSON PARK AV,"(39.3109903,-76.5858963)"
7108,7/15/2015 14:39,Medium,ED,NARCOTICSOutside,P151961694,400 E BIDDLE ST,"(39.3038323,-76.6104592)"
7109,7/15/2015 14:40,Low,SW,INTOXICATED PERS,P151961695,2200 WILKENS AV,"(39.2809070,-76.6507379)"
7110,7/15/2015 14:42,Non-Emergency,SE,LOUD MUSIC,P151961696,200 BLK ST MATTHEWS ST,"(39.2941463,-76.6036399)"
7111,7/15/2015 14:39,Low,WD,LARCENY F/AUTO,P151961697,2000 W BALTIMORE ST,"(39.2883683,-76.6494571)"
7112,7/15/2015 14:43,Low,NW,AUTO ACCIDENT,P151961698,FORDS LN/REISTERSTOWN RD,"(39.355481,-76.701383)"
7113,7/15/2015 14:39,Medium,NE,COMMON ASSAULT,P151961699,ST LO DR/HARFORD RD,"(39.321200,-76.590769)"
7114,7/15/2015 14:43,Medium,ND,911/NO  VOICE,P151961700,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
7115,7/15/2015 13:25,Low,ND,LARCENCY,P151961450,UNION AV/FALLS RD,"(39.333197,-76.635619)"
7116,7/15/2015 13:26,Non-Emergency,SD,VEHICLE DISTURB,P151961451,3000 NIEMAN AV,"(39.2566603,-76.6522386)"
7117,7/15/2015 13:29,Non-Emergency,ED,Repairs/Service,P151961452,3800 E BIDDLE ST,"(39.3065039,-76.5662480)"
7118,7/15/2015 13:28,High,SD,SILENT ALARM,P151961453,2500 W PATAPSCO AV,"(39.2527678,-76.6509926)"
7119,7/15/2015 13:30,Non-Emergency,SW,Repairs/Service,P151961454,SOUTHWEST DISTRICT,"(39.278780,-76.663529)"
7120,7/15/2015 13:29,Medium,SW,911/NO  VOICE,P151961455,2000 N EDGEWOOD ST,"(39.3099540,-76.6779040)"
7121,7/15/2015 13:30,Non-Emergency,NE,Foot  Patrol,P151961456,6600 BELAIR RD,"(39.3541195,-76.5318485)"
7122,7/15/2015 13:29,Medium,SD,911/NO  VOICE,P151961457,200 FRANKFURST AV,"(39.2428780,-76.6030780)"
7123,7/15/2015 13:29,High,NW,SILENT ALARM,P151961459,4200 OAKFORD AV,"(39.3358900,-76.6895450)"
7124,7/15/2015 13:31,High,SW,Field Interview,P151961460,4400 FREDERICK AV,"(39.2818270,-76.6887050)"
7125,7/15/2015 13:30,High,WD,HOLDUP ALARM,P151961461,700 BAKER ST,"(39.3076323,-76.6412934)"
7126,7/15/2015 13:27,Low,SE,LARCENCY,P151961465,E LOMBARD ST/S CONKLING ST,"(39.291402,-76.567475)"
7127,7/15/2015 13:31,Low,SD,LARCENCY,P151961466,MONROE ST SERVICE DR/S MONROE ST,"(39.270043,-76.635283)"
7128,7/15/2015 13:31,Low,NW,DESTRUCT PROPTY,P151961467,3500 W GARRISON AV,"(39.3457460,-76.6767790)"
7129,7/15/2015 13:31,Low,CD,ESCORT,P151961468,1700 EUTAW PL,"(39.3068760,-76.6304080)"
7130,7/15/2015 13:32,Medium,SW,911/NO  VOICE,P151961469,4000 CLIFTON AV,"(39.3121234,-76.6840226)"
7131,7/15/2015 13:33,Low,ND,OTHER,P151961470,400 E 27TH ST,"(39.3211390,-76.6106650)"
7132,7/15/2015 13:34,Non-Emergency,CW,TOWED VEHICLE,P151961471,GLEN ALLEN DR/ROKEBY RD,"(39.295613,-76.696449)"
7133,7/15/2015 13:33,Medium,CD,911/NO  VOICE,P151961472,500 N CHARLES ST,"(39.2951171,-76.6155403)"
7134,7/15/2015 13:36,Non-Emergency,NE,Foot  Patrol,P151961475,6000 AMBERWOOD RD,"(39.3178220,-76.5432350)"
7135,7/15/2015 13:36,High,SE,Field Interview,P151961476,600 S BROADWAY,"(39.2844034,-76.5937380)"
7136,7/15/2015 13:34,Low,NW,AUTO ACCIDENT,P151961478,4100 FORDLEIGH RD,"(39.3543777,-76.6998210)"
7137,7/15/2015 13:35,Medium,CD,911/NO  VOICE,P151961479,200 N CALVERT ST,"(39.2912379,-76.6124711)"
7138,7/15/2015 13:34,Low,NW,AUTO ACCIDENT,P151961480,6200 REISTERSTOWN RD,"(39.3536250,-76.6991810)"
7139,7/15/2015 13:37,Medium,CW,Lab Request,P151961481,3200 MCELDERRY ST,"(39.2983086,-76.5720720)"
7140,7/15/2015 13:35,Medium,ND,DISORDERLY,P151961482,1000 GORSUCH AV,"(39.3256629,-76.6024866)"
7141,7/15/2015 13:32,High,ED,SILENT ALARM,P151961483,1100 HOMEWOOD AV,"(39.3029110,-76.6067050)"
7142,7/15/2015 13:36,Low,NW,OTHER,P151961484,3000 W STRATHMORE AV,"(39.3649400,-76.6890220)"
7143,7/15/2015 17:52,Low,NE,LARCENY F/AUTO,P151962340,4000 ELMORA AV,"(39.3182360,-76.5591460)"
7144,7/15/2015 17:53,Low,SE,HIT AND RUN,P151962342,400 BLK S COLLINGTON AV,"(39.2954698,-76.5864690)"
7145,7/15/2015 17:53,Medium,SD,FAMILY DISTURB,P151962343,3400 ROUND RD,"(39.2432390,-76.6250410)"
7146,7/15/2015 17:55,High,NW,Traffic Stop,P151962344,3800 CALLAWAY AV,"(39.3313590,-76.6767990)"
7147,7/15/2015 17:53,Low,SD,INVESTIGATE,P151962345,1600 WICOMICO ST,"(39.2744811,-76.6355730)"
7148,7/15/2015 17:52,Medium,CD,DISORDERLY,P151962346,900 PENNSYLVANIA AV,"(39.2968391,-76.6267745)"
7149,7/15/2015 17:55,Low,SW,INVESTIGATE,P151962347,2000 BRADDISH AV,"(39.3103170,-76.6614980)"
7150,7/15/2015 17:55,Medium,SD,FAMILY DISTURB,P151962348,2400 HURON ST,"(39.2632875,-76.6422717)"
7151,7/15/2015 17:57,High,ED,Traffic Stop,P151962349,GARRETT AV/BONAPARTE AV,"(39.316265,-76.601471)"
7152,7/15/2015 13:42,Medium,ND,COMMON ASSAULT,P151961499,1000 GORSUCH AV,"(39.3256629,-76.6024866)"
7153,7/15/2015 13:44,Medium,NE,BURGLARY,P151961500,900 MCKEWIN AV,"(39.3328847,-76.6037516)"
7154,7/15/2015 13:35,Medium,ND,DISORDERLY,P151961501,2800 VIRGINIA AV,"(39.3456810,-76.6628760)"
7155,7/15/2015 13:43,Low,SD,INVESTIGATE,P151961504,100 E WEST ST,"(39.2760218,-76.6121647)"
7156,7/15/2015 13:45,Medium,SE,DISORDERLY,P151961505,S LAKEWOOD AV/O'DONNELL ST,"(39.279984,-76.578248)"
7157,7/15/2015 13:38,Medium,NW,FAMILY DISTURB,P151961507,2800 BOARMAN AV,"(39.3380777,-76.6678955)"
7158,7/15/2015 13:44,Medium,NW,COMMON ASSAULT,P151961508,3800 HILLSDALE RD,"(39.3345640,-76.6928420)"
7159,7/15/2015 13:46,Medium,SE,911/NO  VOICE,P151961509,1600 S HIGHLAND AV,"(39.2739109,-76.5684232)"
7160,7/15/2015 13:47,Medium,WD,DISORDERLY,P151961510,2000 RIDGEHILL AV,"(39.3114500,-76.6504207)"
7161,7/15/2015 13:47,Medium,ND,COMMON ASSAULT,P151961512,5000 YORK RD,"(39.3491519,-76.6101140)"
7162,7/15/2015 13:47,Medium,NE,AED NONBREATHING,P151961513,1500 TUNLAW RD,"(39.3355050,-76.5935900)"
7163,7/15/2015 13:49,High,WD,Traffic Stop,P151961514,1100 BLK HARLEM AV,"(39.2967948,-76.6357750)"
7164,7/15/2015 13:45,Medium,NE,SINK HOLE,P151961515,6100 OLD HARFORD RD,"(39.3591070,-76.5585679)"
7165,7/15/2015 13:49,Medium,CD,DISORDERLY,P151961516,0 S EUTAW ST,"(39.2892383,-76.6209383)"
7166,7/15/2015 13:47,Low,SD,BIKE LARCENY,P151961517,1400 CLARKSON ST,"(39.2732582,-76.6163865)"
7167,7/15/2015 13:43,Medium,NW,CHECK WELL BEING,P151961518,4000 FAIRVIEW AV,"(39.3235290,-76.6850580)"
7168,7/15/2015 13:44,High,ND,AGGRAV ASSAULT,P151961519,1000 GORSUCH AV,"(39.3256629,-76.6024866)"
7169,7/15/2015 13:49,Medium,SD,911/NO  VOICE,P151961520,1500 W PATAPSCO AV,"(39.2497830,-76.6405870)"
7170,7/15/2015 13:47,High,ND,AUTO ACC/INJURY,P151961521,600 E 33RD ST,"(39.3286549,-76.6082916)"
